date,confirmed_cases,recovered,negative_tests,deaths,total_cases,total_recovered,total_tests,total_deaths,total_deaths_other,percent_positive,percent_population_confirmed
03.02.2020,0,0,6,0,0,0,6,0,,0,0
04.02.2020,0,0,12,0,0,0,18,0,,0,0
05.02.2020,0,0,5,0,0,0,23,0,,0,0
06.02.2020,0,0,16,0,0,0,39,0,,0,0
07.02.2020,0,0,9,0,0,0,48,0,,0,0
10.02.2020,0,0,4,0,0,0,52,0,,0,0
11.02.2020,0,0,11,0,0,0,63,0,,0,0
14.02.2020,0,0,4,0,0,0,67,0,,0,0
18.02.2020,0,0,1,0,0,0,68,0,,0,0
19.02.2020,0,0,5,0,0,0,73,0,,0,0
24.02.2020,0,0,6,0,0,0,79,0,,0,0
25.02.2020,0,0,7,0,0,0,86,0,,0,0
26.02.2020,0,0,7,0,0,0,93,0,,0,0
27.02.2020,0,0,7,0,0,0,100,0,,0,0
28.02.2020,0,0,5,0,0,0,105,0,,0,0
29.02.2020,0,0,13,0,0,0,118,0,,0,0
01.03.2020,1,0,0,0,1,0,119,0,,100,0
02.03.2020,0,0,19,0,1,0,138,0,,0,0
03.03.2020,0,0,12,0,1,0,150,0,,0,0
04.03.2020,0,0,13,0,1,0,163,0,,0,0
05.03.2020,0,0,13,0,1,0,176,0,,0,0
06.03.2020,0,0,7,0,1,0,183,0,,0,0
07.03.2020,0,0,12,0,1,0,195,0,,0,0
08.03.2020,0,0,8,0,1,0,203,0,,0,0
09.03.2020,0,0,7,0,1,0,210,0,,0,0
10.03.2020,0,0,15,0,1,0,225,0,,0,0
11.03.2020,3,0,10,0,4,0,238,0,,23.1,0
12.03.2020,2,0,37,0,6,0,277,0,,5.1,0
13.03.2020,7,0,98,0,13,0,382,0,,6.7,0
14.03.2020,7,0,94,0,20,0,483,0,,6.9,0.001
15.03.2020,8,1,38,0,28,1,529,0,,17.4,0.001
16.03.2020,17,0,155,0,45,1,701,0,,9.9,0.002
17.03.2020,33,0,103,0,78,1,837,0,,24.3,0.003
18.03.2020,32,0,58,0,110,1,927,0,,35.6,0.004
19.03.2020,26,0,91,0,136,1,1044,0,,22.2,0.005
20.03.2020,24,0,65,0,160,1,1133,0,,27,0.005
21.03.2020,30,1,68,0,190,2,1231,0,,30.6,0.006
22.03.2020,4,0,32,0,194,2,1267,0,,11.1,0.007
23.03.2020,41,0,59,0,235,2,1367,0,,41,0.008
24.03.2020,30,14,180,0,265,16,1577,0,,14.3,0.009
25.03.2020,25,2,125,0,290,18,1727,0,,16.7,0.01
26.03.2020,39,10,185,1,329,28,1951,1,,17.4,0.011
27.03.2020,43,0,212,0,372,28,2206,1,,16.9,0.013
28.03.2020,52,2,217,0,424,30,2475,1,,19.3,0.014
29.03.2020,58,0,162,2,482,30,2695,3,,26.4,0.016
30.03.2020,50,0,317,0,532,30,3062,3,,13.6,0.018
31.03.2020,39,1,171,0,571,31,3272,3,,18.6,0.019
01.04.2020,92,2,236,1,663,33,3600,4,,28,0.022
02.04.2020,73,10,318,3,736,43,3991,7,,18.7,0.025
03.04.2020,34,0,219,0,770,43,4244,7,,13.4,0.026
04.04.2020,52,14,367,0,822,57,4663,7,,12.4,0.028
05.04.2020,11,5,252,1,833,62,4926,8,,4.2,0.028
06.04.2020,20,25,191,0,853,87,5137,8,,9.5,0.029
07.04.2020,28,27,284,1,881,114,5449,9,,9,0.03
08.04.2020,40,24,331,1,921,138,5820,10,,10.8,0.031
09.04.2020,16,11,244,1,937,149,6080,11,,6.2,0.032
10.04.2020,30,24,373,2,967,173,6483,13,,7.4,0.033
11.04.2020,46,24,634,0,1013,197,7163,13,,6.8,0.034
12.04.2020,26,14,441,1,1039,211,7630,14,,5.6,0.035
13.04.2020,28,54,657,2,1067,265,8315,16,,4.1,0.036
14.04.2020,44,32,735,1,1111,297,9094,17,,5.6,0.037
15.04.2020,48,61,489,1,1159,358,9631,18,,8.9,0.039
16.04.2020,42,44,1119,1,1201,402,10792,19,,3.6,0.041
17.04.2020,47,121,956,1,1248,523,11795,20,,4.7,0.042
18.04.2020,43,22,841,0,1291,545,12679,20,,4.9,0.044
19.04.2020,48,35,645,2,1339,580,13372,22,,6.9,0.045
20.04.2020,62,29,494,2,1401,609,13928,24,,11.2,0.047
21.04.2020,72,24,966,0,1473,633,14966,24,,6.9,0.05
22.04.2020,50,26,844,0,1523,659,15860,24,,5.6,0.051
23.04.2020,73,69,619,3,1596,728,16552,27,,10.5,0.054
24.04.2020,81,75,709,1,1677,803,17342,28,,10.3,0.057
25.04.2020,69,30,520,0,1746,833,17931,28,,11.7,0.059
26.04.2020,62,15,554,1,1808,848,18547,29,,10.1,0.061
27.04.2020,59,18,690,1,1867,866,19296,30,,7.9,0.063
28.04.2020,65,34,828,0,1932,900,20189,30,,7.3,0.065
29.04.2020,134,29,802,2,2066,929,21125,32,,14.3,0.07
30.04.2020,82,48,970,1,2148,977,22177,33,,7.8,0.072
01.05.2020,125,33,840,0,2273,1010,23142,33,,13,0.077
02.05.2020,113,25,922,2,2386,1035,24177,35,,10.9,0.08
03.05.2020,121,36,644,4,2507,1071,24942,39,,15.8,0.085
04.05.2020,112,40,792,1,2619,1111,25846,40,,12.4,0.088
05.05.2020,163,24,920,0,2782,1135,26929,40,,15.1,0.094
06.05.2020,102,50,986,2,2884,1185,28017,42,,9.4,0.097
07.05.2020,145,33,1043,1,3029,1218,29205,43,,12.2,0.102
08.05.2020,146,49,1046,1,3175,1267,30397,44,,12.2,0.107
09.05.2020,138,58,1055,1,3313,1325,31590,45,,11.6,0.112
10.05.2020,79,34,892,1,3392,1359,32561,46,,8.1,0.114
11.05.2020,146,71,606,1,3538,1430,33313,47,,19.4,0.119
12.05.2020,180,70,1273,1,3718,1500,34766,48,,12.4,0.125
13.05.2020,142,72,1108,1,3860,1572,36016,49,,11.4,0.13
14.05.2020,184,94,1276,3,4044,1666,37476,52,,12.6,0.136
15.05.2020,239,125,1290,3,4283,1791,39005,55,,15.6,0.144
16.05.2020,189,134,1036,5,4472,1925,40230,60,,15.4,0.151
17.05.2020,351,94,1269,1,4823,2019,41850,61,,21.7,0.163
18.05.2020,218,145,973,3,5041,2164,43041,64,,18.3,0.17
19.05.2020,230,255,800,3,5271,2419,44071,67,,22.3,0.178
20.05.2020,335,162,1416,3,5606,2581,45822,70,,19.1,0.189
21.05.2020,322,293,1510,4,5928,2874,47654,74,,17.6,0.2
22.05.2020,374,62,1052,3,6302,2936,49080,77,,26.2,0.213
23.05.2020,359,128,958,4,6661,3064,50397,81,,27.3,0.225
24.05.2020,452,81,745,6,7113,3145,51594,87,,37.8,0.24
25.05.2020,289,75,671,4,7402,3220,52554,91,,30.1,0.25
26.05.2020,372,35,752,7,7774,3255,53678,98,,33.1,0.262
27.05.2020,442,32,811,15,8216,3287,54931,113,,35.3,0.277
28.05.2020,460,10,651,7,8676,3297,56042,120,,41.4,0.293
29.05.2020,251,20,788,7,8927,3317,57081,127,,24.2,0.301
30.05.2020,355,69,629,4,9282,3386,58065,131,,36.1,0.313
31.05.2020,210,16,393,8,9492,3402,58668,139,,34.8,0.32
01.06.2020,517,25,732,19,10009,3427,59917,158,,41.4,0.338
02.06.2020,515,27,1218,12,10524,3454,61650,170,,29.7,0.355
03.06.2020,697,14,1112,6,11221,3468,63459,176,,38.5,0.378
04.06.2020,596,45,1106,7,11817,3513,65161,183,,35,0.399
05.06.2020,547,207,966,7,12364,3720,66674,190,,36.2,0.417
06.06.2020,766,294,1731,10,13130,4014,69171,200,,30.7,0.443
07.06.2020,195,85,634,11,13325,4099,70000,211,,23.5,0.449
08.06.2020,350,352,1055,6,13675,4451,71405,217,,24.9,0.461
09.06.2020,428,775,1323,10,14103,5226,73156,227,,24.4,0.476
10.06.2020,566,240,1667,18,14669,5466,75389,245,,25.3,0.495
11.06.2020,612,173,1685,13,15281,5639,77686,258,,26.6,0.515
12.06.2020,723,442,1721,6,16004,6081,80130,264,,29.6,0.54
13.06.2020,663,133,1531,5,16667,6214,82324,269,,30.2,0.562
14.06.2020,397,62,879,16,17064,6276,83600,285,,31.1,0.576
15.06.2020,425,295,1531,8,17489,6571,85556,293,,21.7,0.59
16.06.2020,544,243,1500,9,18033,6814,87600,302,,26.6,0.608
17.06.2020,665,746,1727,7,18698,7560,89992,309,,27.8,0.631
18.06.2020,459,706,1492,10,19157,8266,91943,319,,23.5,0.646
19.06.2020,551,588,1292,13,19708,8854,93786,332,,29.9,0.665
20.06.2020,560,148,1408,18,20268,9002,95754,350,,28.5,0.684
21.06.2020,320,129,769,10,20588,9131,96843,360,,29.4,0.694
22.06.2020,418,1013,856,12,21006,10144,98117,372,,32.8,0.708
23.06.2020,711,653,1572,14,21717,10797,100400,386,,31.1,0.732
24.06.2020,771,538,1565,11,22488,11335,102736,397,,33,0.758
25.06.2020,759,814,1551,13,23247,12149,105046,410,,32.9,0.784
26.06.2020,662,762,1400,10,23909,12911,107108,420,133,32.1,0.806